happiness_classification,norm_imports,norm_exports,fear,anger,surprise,sadness,disgust,joy,anticipation,year,country
happy,0.43043697047988544,0.10667250874396933,0.058823529411764705,0.04292527821939587,0.03815580286168521,0.030206677265500796,0.02384737678855326,0.08744038155802862,0.11287758346581876,2009,Albania
not-happy,1.8641573503261128,1.3589855135233495,0.06446991404011461,0.044412607449856735,0.02865329512893983,0.034383954154727794,0.024355300859598854,0.09025787965616046,0.10028653295128939,2009,Tunisia
happy,12.368316025044743,14.881917051484775,0.065,0.045,0.0225,0.045,0.0275,0.06,0.0925,2009,Indonesia
happy,15.09001077923775,15.876250482246258,0.06902985074626866,0.033582089552238806,0.026119402985074626,0.03731343283582089,0.016791044776119403,0.07835820895522388,0.11753731343283583,2009,Japan
not-happy,0.666875222833896,0.15960841096920017,0.04924242424242424,0.01893939393939394,0.03787878787878788,0.022727272727272728,0.015151515151515152,0.09848484848484848,0.12121212121212122,2009,Rwanda
happy,1.783650002592896,1.3289668703329733,0.04,0.029473684210526315,0.037894736842105266,0.018947368421052633,0.021052631578947368,0.07578947368421053,0.08210526315789474,2009,Belarus
not-happy,2.919102263453161,0.999467817943966,0.054,0.04,0.03,0.038,0.034,0.082,0.088,2009,Ghana
not-happy,7.747610518341764,4.289818655962318,0.06474820143884892,0.05995203836930456,0.016786570743405275,0.045563549160671464,0.019184652278177457,0.09832134292565947,0.11750599520383694,2009,Pakistan
happy,13.563268211004115,11.672283264359347,0.09221902017291066,0.04899135446685879,0.025936599423631124,0.07780979827089338,0.02881844380403458,0.05187319884726225,0.09798270893371758,2009,France
happy,1.1408108474362062,0.4624805439071642,0.08196721311475409,0.0430327868852459,0.0430327868852459,0.0778688524590164,0.028688524590163935,0.07991803278688525,0.07377049180327869,2009,Dominican Republic
happy,9.96140706296067,10.819997782360106,0.09523809523809523,0.05411255411255411,0.023809523809523808,0.06277056277056277,0.02813852813852814,0.05844155844155844,0.08225108225108226,2009,Brazil
happy,0.46896767454352944,0.35359576959609124,0.05660377358490566,0.054245283018867926,0.04009433962264151,0.05188679245283019,0.0330188679245283,0.09198113207547169,0.07783018867924528,2009,Uruguay
not-happy,1.309824795236514,1.4363906101849215,0.08761904761904762,0.045714285714285714,0.017142857142857144,0.0419047619047619,0.02666666666666667,0.05714285714285714,0.08571428571428572,2009,Zambia
happy,10.152834491121348,11.447111742639786,0.05871886120996441,0.026690391459074734,0.019572953736654804,0.023131672597864767,0.01601423487544484,0.08362989323843416,0.08896797153024912,2009,Thailand
happy,0.6977155349819469,0.4926370340863072,0.09395973154362416,0.08221476510067115,0.03523489932885906,0.05704697986577181,0.05704697986577181,0.06208053691275168,0.08892617449664429,2009,Paraguay
not-happy,3.88756051873933,3.405432075147021,0.06142506142506143,0.04176904176904177,0.02457002457002457,0.03931203931203931,0.02457002457002457,0.07616707616707617,0.08845208845208845,2009,Ukraine
not-happy,1.1926990158088069,1.180897807304363,0.06396588486140725,0.042643923240938165,0.023454157782515993,0.0511727078891258,0.02771855010660981,0.06823027718550106,0.09381663113006397,2009,Cameroon
happy,0.3012660577977165,0.7401610392926795,0.07585335018963338,0.05056890012642225,0.0316055625790139,0.04424778761061947,0.022756005056890013,0.08470290771175727,0.10493046776232617,2009,Kuwait
not-happy,3.234019722285434,4.57550768744163,0.07094594594594594,0.04054054054054054,0.02364864864864865,0.033783783783783786,0.02364864864864865,0.0777027027027027,0.10135135135135136,2009,Iraq
happy,8.026555328373382,7.183350147126723,0.06925675675675676,0.04560810810810811,0.033783783783783786,0.02364864864864865,0.015202702702702704,0.060810810810810814,0.10135135135135136,2009,Canada
not-happy,2.0512697236401514,1.7540891249088744,0.05740987983978638,0.029372496662216287,0.029372496662216287,0.028037383177570093,0.010680907877169559,0.09746328437917223,0.1054739652870494,2009,Sudan
happy,1.5677604361497521,0.9852154274588271,0.08153078202995008,0.04991680532445923,0.028286189683860232,0.04991680532445923,0.03161397670549085,0.07321131447587355,0.07154742096505824,2009,Guatemala
not-happy,5.577273133162481,4.112802702202362,0.07268722466960352,0.05947136563876652,0.028634361233480177,0.048458149779735685,0.030837004405286344,0.06387665198237885,0.0947136563876652,2009,South Africa
not-happy,2.7756253998773532,1.2135788226709685,0.07428571428571429,0.04380952380952381,0.04380952380952381,0.05904761904761905,0.030476190476190476,0.0838095238095238,0.10476190476190476,2009,Kenya
not-happy,1.5048680877875613,1.9234172266743803,0.11433756805807622,0.06533575317604355,0.029038112522686024,0.07441016333938294,0.029038112522686024,0.08348457350272233,0.0925589836660617,2009,Cambodia
happy,1.4426485513544318,1.4529918865253655,0.10078387458006718,0.07502799552071669,0.027995520716685332,0.06494960806270997,0.04591265397536394,0.08062709966405375,0.09966405375139978,2009,Israel
happy,1.2874026731956771,0.4887391228791702,0.10277777777777777,0.07685185185185185,0.03333333333333333,0.06018518518518518,0.03796296296296296,0.05462962962962963,0.07222222222222222,2009,Honduras
happy,3.5421831006480864,3.889724198443276,0.08447488584474885,0.0365296803652968,0.05251141552511415,0.0502283105022831,0.01141552511415525,0.0593607305936073,0.08904109589041095,2009,Singapore
happy,0.9955469289200612,0.5210802850415664,0.08631319358816276,0.055487053020961775,0.035758323057953144,0.040690505548705305,0.02466091245376079,0.07398273736128237,0.09247842170160296,2009,El Salvador
